City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Lucea,18.451,-78.1736,85.86,69,26,3.56,JM,"Oct 21, 2022"
Punta Arenas,-53.15,-70.9167,50.11,44,0,31.07,CL,"Oct 21, 2022"
Tuktoyaktuk,69.4541,-133.0374,21.2,86,75,8.05,CA,"Oct 21, 2022"
Jamestown,42.097,-79.2353,49.51,50,0,9.22,US,"Oct 21, 2022"
Ushuaia,-54.8,-68.3,44.19,77,60,9.42,AR,"Oct 21, 2022"
Provideniya,64.3833,-173.3,35.08,94,100,6.87,RU,"Oct 21, 2022"
Albany,42.6001,-73.9662,48.51,67,0,2.57,US,"Oct 21, 2022"
Morshansk,53.4435,41.8107,35.11,76,85,5.01,RU,"Oct 21, 2022"
Hilo,19.7297,-155.09,76.28,82,0,4.61,US,"Oct 21, 2022"
San Policarpo,12.1791,125.5072,82.6,81,92,7.76,PH,"Oct 21, 2022"
Bredasdorp,-34.5322,20.0403,68.58,47,14,13.15,ZA,"Oct 21, 2022"
Bluff,-46.6,168.3333,43.0,78,8,6.44,NZ,"Oct 21, 2022"
Busselton,-33.65,115.3333,53.73,81,90,9.28,AU,"Oct 21, 2022"
Alirajpur,22.3031,74.3546,78.12,50,0,2.57,IN,"Oct 21, 2022"
Tāki,22.5861,88.9214,82.35,71,0,6.15,IN,"Oct 21, 2022"
Piaçabuçu,-10.4056,-36.4344,82.26,61,59,11.99,BR,"Oct 21, 2022"
Kudahuvadhoo,2.6708,72.8944,82.02,74,100,12.44,MV,"Oct 21, 2022"
Severnoye,56.3491,78.3619,42.58,90,100,8.66,RU,"Oct 21, 2022"
Hobart,-42.8794,147.3294,62.46,91,100,9.22,AU,"Oct 21, 2022"
Tasiilaq,65.6145,-37.6368,33.96,96,100,2.55,GL,"Oct 21, 2022"
Port Blair,11.6667,92.75,80.1,85,100,11.43,IN,"Oct 21, 2022"
Puerto Ayora,-0.7393,-90.3518,71.56,85,95,5.99,EC,"Oct 21, 2022"
Roald,62.5833,6.1333,54.34,71,0,0.0,NO,"Oct 21, 2022"
Cherskiy,68.75,161.3,3.18,98,100,7.0,RU,"Oct 21, 2022"
Deputatsky,69.3,139.9,-5.69,97,28,6.96,RU,"Oct 21, 2022"
Mayo,38.8876,-76.5119,57.97,71,0,1.01,US,"Oct 21, 2022"
Necochea,-38.5473,-58.7368,56.55,68,83,19.3,AR,"Oct 21, 2022"
Choix,26.7092,-108.3219,71.19,62,12,4.0,MX,"Oct 21, 2022"
Ponta do Sol,32.6667,-17.1,77.72,93,100,4.14,PT,"Oct 21, 2022"
Coahuayana Viejo,18.7333,-103.6833,74.95,88,100,3.31,MX,"Oct 21, 2022"
Krasnyy Chikoy,50.3643,108.7512,28.36,86,41,3.04,RU,"Oct 21, 2022"
Ponta Delgada,37.7333,-25.6667,68.72,60,20,16.11,PT,"Oct 21, 2022"
Krosno Odrzańskie,52.0549,15.0988,57.65,56,100,7.96,PL,"Oct 21, 2022"
Gīdolē,5.65,37.3667,62.49,71,99,6.22,ET,"Oct 21, 2022"
Omboué,-1.5746,9.2618,81.61,73,67,9.89,GA,"Oct 21, 2022"
Muravlenko,63.7898,74.523,30.85,83,99,17.36,RU,"Oct 21, 2022"
George Town,5.4112,100.3354,84.13,85,40,1.14,MY,"Oct 21, 2022"
Ancud,-41.8697,-73.8203,50.23,55,1,2.55,CL,"Oct 21, 2022"
Faanui,-16.4833,-151.75,78.89,77,14,17.63,PF,"Oct 21, 2022"
Flin Flon,54.7682,-101.865,40.44,69,97,12.64,CA,"Oct 21, 2022"
Vaini,-21.2,-175.2,73.65,82,100,17.34,TO,"Oct 21, 2022"
Creemore,44.327,-80.1075,46.06,73,100,13.44,CA,"Oct 21, 2022"
Jūnāgarh,19.8667,82.9333,69.35,75,0,3.06,IN,"Oct 21, 2022"
Visby,57.6409,18.296,50.22,76,20,11.5,SE,"Oct 21, 2022"
Ihosy,-22.4,46.1167,79.18,43,34,15.08,MG,"Oct 21, 2022"
Avarua,-21.2078,-159.775,75.25,88,75,18.41,CK,"Oct 21, 2022"
Carnarvon,-24.8667,113.6333,67.75,78,0,16.75,AU,"Oct 21, 2022"
Saint Anthony,45.0205,-93.218,52.9,59,0,6.91,US,"Oct 21, 2022"
Coquimbo,-29.9533,-71.3436,56.93,82,100,5.75,CL,"Oct 21, 2022"
Longyearbyen,78.2186,15.6401,19.24,73,20,12.66,SJ,"Oct 21, 2022"
Clyde River,70.4692,-68.5914,26.83,86,100,17.27,CA,"Oct 21, 2022"
Atuona,-9.8,-139.0333,76.77,65,97,17.56,PF,"Oct 21, 2022"
Sobolevo,54.4299,31.8996,44.13,76,99,4.99,RU,"Oct 21, 2022"
Bathsheba,13.2167,-59.5167,88.41,66,40,17.27,BB,"Oct 21, 2022"
Moose Factory,51.2585,-80.6094,39.36,85,100,17.27,CA,"Oct 21, 2022"
Kruisfontein,-34.0033,24.7314,66.88,69,99,15.08,ZA,"Oct 21, 2022"
Qaanaaq,77.484,-69.3632,-2.31,60,0,9.91,GL,"Oct 21, 2022"
Soria,41.6667,-2.6667,58.1,100,100,16.24,ES,"Oct 21, 2022"
Nabire,-3.3667,135.4833,77.47,88,100,2.01,ID,"Oct 21, 2022"
Rikitea,-23.1203,-134.9692,70.95,74,5,21.79,PF,"Oct 21, 2022"
Salalah,17.0151,54.0924,82.49,65,40,5.75,OM,"Oct 21, 2022"
Ketchikan,55.3422,-131.6461,46.87,93,100,10.36,US,"Oct 21, 2022"
Lebu,-37.6167,-73.65,52.56,63,0,13.91,CL,"Oct 21, 2022"
Kaitangata,-46.2817,169.8464,36.57,88,11,5.68,NZ,"Oct 21, 2022"
Geraldton,-28.7667,114.6,63.34,83,0,12.01,AU,"Oct 21, 2022"
Mataura,-46.1927,168.8643,33.73,98,7,1.79,NZ,"Oct 21, 2022"
Bethel,41.3712,-73.414,55.15,72,0,0.0,US,"Oct 21, 2022"
Chokurdakh,70.6333,147.9167,11.73,94,100,13.8,RU,"Oct 21, 2022"
Lagoa,39.05,-27.9833,64.4,68,100,22.84,PT,"Oct 21, 2022"
Andenes,69.3143,16.1194,42.93,81,75,12.66,NO,"Oct 21, 2022"
Voyvozh,62.892,54.9635,30.36,80,100,9.64,RU,"Oct 21, 2022"
Mar del Plata,-38.0023,-57.5575,60.1,85,7,10.0,AR,"Oct 21, 2022"
Chapais,49.7834,-74.8492,37.18,76,100,14.34,CA,"Oct 21, 2022"
Kamenka,51.3223,42.7678,41.7,56,9,12.01,RU,"Oct 21, 2022"
Broome,42.2506,-75.833,47.44,60,0,8.05,US,"Oct 21, 2022"
Morgan City,29.6994,-91.2068,64.4,82,0,0.0,US,"Oct 21, 2022"
Channagiri,14.0333,75.9333,74.05,76,99,7.11,IN,"Oct 21, 2022"
Coyhaique,-45.5752,-72.0662,46.35,49,0,4.61,CL,"Oct 21, 2022"
Orotukan,62.2667,151.7,-0.65,89,100,3.58,RU,"Oct 21, 2022"
East London,-33.0153,27.9116,73.76,73,48,15.77,ZA,"Oct 21, 2022"
Labytnangi,66.6572,66.4183,29.62,94,100,5.14,RU,"Oct 21, 2022"
Mount Gambier,-37.8333,140.7667,57.11,94,100,6.91,AU,"Oct 21, 2022"
Port Alfred,-33.5906,26.891,71.19,83,97,4.0,ZA,"Oct 21, 2022"
Bilibino,68.0546,166.4372,11.28,97,100,2.33,RU,"Oct 21, 2022"
Hamilton,39.1834,-84.5333,51.78,49,82,1.99,US,"Oct 21, 2022"
